diagnosis,triage_color
injury to the trunk,orange
insect bite,green
insulin overdose,orange
interstitial lung disease,orange
intertrigo (skin condition),orange
intestinal cancer,orange
intestinal disease,orange
intestinal malabsorption,orange
intestinal obstruction,red
intracerebral hemorrhage,red
intracranial abscess,orange
intracranial hemorrhage,red
intussusception,orange
iridocyclitis,orange
iron deficiency anemia,orange
irritable bowel syndrome,orange
ischemia of the bowel,orange
ischemic heart disease,orange
itching of unknown cause,orange
jaw disorder,orange
joint effusion,orange
juvenile rheumatoid arthritis,orange
kaposi sarcoma,orange
kidney cancer,orange
kidney disease due to longstanding hypertension,orange
kidney failure,orange
kidney stone,orange
knee ligament or meniscus tear,orange
labyrinthitis,orange
lactose intolerance,orange
laryngitis,orange
lateral epicondylitis (tennis elbow),orange
leukemia,orange
lewy body dementia,orange
lice,green
lichen planus,orange
lichen simplex,orange
lipoma,orange
liver cancer,orange
liver disease,orange
lumbago,orange
lung cancer,orange
lung contusion,orange
lyme disease,orange
lymphadenitis,orange
lymphangitis,orange
lymphedema,orange
lymphogranuloma venereum,orange
lymphoma,orange
macular degeneration,orange
magnesium deficiency,orange
malaria,red
male genitalia infection,orange
malignant hypertension,orange
marijuana abuse,orange
mastectomy,orange
mastoiditis,orange
meckel diverticulum,orange
melanoma,orange
meniere disease,orange
meningioma,orange
meningitis,red
menopause,orange
metabolic disorder,orange
metastatic cancer,orange
migraine,orange
missed abortion,orange
mitral valve disease,orange
mittelschmerz,orange
molluscum contagiosum,green
mononeuritis,orange
mononucleosis,orange
moyamoya disease,orange
mucositis,orange
multiple myeloma,orange
multiple sclerosis,orange
mumps,orange
muscle spasm,orange
muscular dystrophy,orange
myasthenia gravis,orange
myelodysplastic syndrome,orange
myocarditis,red
myoclonus,orange
myopia,orange
myositis,orange
narcolepsy,orange
nasal polyp,green
necrotizing fasciitis,orange
neonatal jaundice,orange
nerve impingement near the shoulder,orange
neuralgia,orange
neurofibromatosis,orange
neuropathy due to drugs,orange
neurosis,orange
nonalcoholic liver disease (nash),orange
noninfectious gastroenteritis,orange
normal pressure hydrocephalus,orange
nose disorder,green
obesity,orange
obsessive compulsive disorder (ocd),orange
obstructive sleep apnea (osa),orange
omphalitis,orange
onychomycosis,orange
open wound due to trauma,orange
open wound from surgical incision,orange
open wound of the abdomen,orange
open wound of the arm,orange
open wound of the back,orange
open wound of the cheek,orange
open wound of the chest,orange
open wound of the ear,orange
open wound of the eye,red
open wound of the face,orange
open wound of the finger,orange
open wound of the foot,orange
open wound of the hand,orange
open wound of the head,orange
open wound of the jaw,orange
open wound of the knee,orange
open wound of the lip,orange
open wound of the mouth,orange
open wound of the neck,orange
open wound of the nose,orange
open wound of the shoulder,orange
oppositional disorder,orange
optic neuritis,orange
oral leukoplakia,orange
oral mucosal lesion,orange
oral thrush (yeast infection),orange
orbital cellulitis,orange
orthostatic hypotension,orange
osteoarthritis,orange
osteochondroma,orange
osteochondrosis,orange
osteomyelitis,orange
osteoporosis,orange
otitis externa (swimmer's ear),green
otitis media,orange
otosclerosis,orange
ovarian cancer,orange
ovarian cyst,orange
ovarian torsion,red
overflow incontinence,orange
pain after an operation,orange
pain disorder affecting the neck,orange
pancreatic cancer,orange
panic attack,orange
panic disorder,orange
parasitic disease,orange
parathyroid adenoma,orange
parkinson disease,orange
paronychia,orange
paroxysmal supraventricular tachycardia,orange
paroxysmal ventricular tachycardia,orange
pelvic fistula,orange
pelvic inflammatory disease,orange
pelvic organ prolapse,orange
pemphigus,orange
pericarditis,red
peripheral arterial disease,orange
peripheral arterial embolism,red
peripheral nerve disorder,orange
perirectal infection,orange
peritonitis,red
peritonsillar abscess,orange
persistent vomiting of unknown cause,orange
personality disorder,orange
peyronie disease,orange
pharyngitis,orange
phimosis,orange
pilonidal cyst,orange
pinguecula,orange
pinworm infection,green
pituitary adenoma,orange
pituitary disorder,orange
pityriasis rosea,orange
placenta previa,orange
placental abruption,red
plantar fasciitis,orange
pleural effusion,orange
pneumoconiosis,orange
pneumonia,orange
pneumothorax,red
poisoning due to analgesics,red
poisoning due to anticonvulsants,red
poisoning due to antidepressants,red
poisoning due to antihypertensives,red
poisoning due to antimicrobial drugs,red
poisoning due to antipsychotics,red
poisoning due to ethylene glycol,red
poisoning due to gas,red
poisoning due to opioids,red
poisoning due to sedatives,red
